schema_version,snapshot_date,module_label,module_api_name,field_label,field_display_label,field_api_name,data_type,json_type,origin_status,usage_status,visible_status,write_status,read_only_status,field_read_only_status,api_create_status,api_update_status,system_required_status,standard_layout_required_status,unique_status,encryption_status,personal_designation_status,virtual_status,length,decimal_places,history_tracking_status,external_field_status,searchable_status,filterable_status,sortable_status,help_text_status,picklist_value_count,picklist_options_status,metadata_verification_status
2,2026-08-14,Leads,Leads,Free Test Contact Consent Version,Free Test Contact Consent Version,Free_Test_Contact_Consent_Version,text,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,100,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Free Test Request Notes,Free Test Request Notes,Free_Test_Request_Notes,textarea,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,2000,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Free Test Request Submitted At,Free Test Request Submitted At,Free_Test_Request_Submitted_At,datetime,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Full Name,Full Name,Full_Name,text,string,system,used,true,read_only,false,false,false,false,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,ICP Fit,ICP Fit,ICP_Fit,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,6,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Record Id,Record Id,id,bigint,string,system,used,true,read_only,true,true,false,false,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,18,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Industry,Industry,Industry,picklist,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,29,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Intake Form Version,Intake Form Version,Intake_Form_Version,text,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,100,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Intake Submission ID,Intake Submission ID,Intake_Submission_ID,text,string,custom,used,true,writable,false,false,true,true,optional,optional,case_insensitive,not_encrypted,not_exposed_by_fields_api,concrete,100,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Integration Readiness,Integration Readiness,Integration_Readiness,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,6,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Last Activity Time,Last Activity Time,Last_Activity_Time,datetime,string,system,used,true,read_only,false,true,false,false,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Last Enriched Time,Last Enriched Time,Last_Enriched_Time__s,datetime,string,system,used,true,read_only,true,true,false,false,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Last Name,Last Name,Last_Name,text,string,system,used,true,writable,false,false,true,true,required,required,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,80,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Last Outreach At,Last Outreach At,Last_Outreach_At,datetime,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Last Outreach Channel,Last Outreach Channel,Last_Outreach_Channel,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,17,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Last Research Verified At,Last Research Verified At,Last_Research_Verified_At,datetime,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Most Recent Visit,Last Visited Time,Last_Visited_Time,datetime,string,system,used,true,writable,false,true,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Lead Conversion Time,Lead Conversion Time,Lead_Conversion_Time,integer,integer,system,used,true,read_only,false,true,false,false,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,9,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Lead Source,Lead Source,Lead_Source,picklist,string,system,used,true,writable,false,false,true,true,optional,required,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,17,captured,verified_live_read_only
