schema_version,snapshot_date,module_api_name,layout_name,layout_api_name,layout_status,section_mode,section_sequence,section_label,section_api_name,column_count,field_sequence,field_source_ordinal,field_label,layout_display_label,field_api_name,data_type,default_value_status,required_status,read_only_status,field_read_only_status,api_write_status,metadata_verification_status
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,7,Address - Longitude,Address - Longitude,Address_Coordinates_Longitude,double,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,8,Address - State / Province,Address - State / Province,Address_State_Province,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,9,Address - Street Address,Address - Street Address,Address_Street_Address,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,1,10,Address - Zip / Postal Code,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,2,11,Location Type,Location Type,Location_Type,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,4,12,Target Selection Basis,Target Selection Basis,Target_Location_Selection_Basis,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,6,13,Target Anchor ZIP,Target Anchor ZIP,Target_Anchor_ZIP,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,8,14,Distance to Anchor ZIP,Distance to Anchor ZIP,Distance_to_Anchor_ZIP,double,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,4,Address,Address_Information__s,2,10,15,Location Source URL,Location Source URL,Location_Source_URL,website,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,1,1,First Name,First Name,First_Name,text,not_exposed,required,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,1,2,Salutation,Salutation,Salutation,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,2,3,Contact Email,Contact Email,Email,email,not_exposed,required,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,3,4,Last Name,Last Name,Last_Name,text,not_exposed,required,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,3,5,Full Name,Full Name,Full_Name,text,not_exposed,optional,false,false,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,4,6,Contact Phone,Contact Phone,Phone,phone,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,5,7,Contact Title,Contact Title,Designation,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,6,8,Contact LinkedIn,Contact LinkedIn,LinkedIn,website,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,7,9,Secondary Email,Secondary Email,Secondary_Email,email,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,8,10,Decision Authority,Decision Authority,Decision_Authority,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
