schema_version,snapshot_date,source_module_label,source_module_api_name,source_field_label,source_field_api_name,source_data_type,source_usage_status,target_module_label,target_module_api_name,target_field_label,target_field_api_name,target_data_type,target_field_status,current_mapping_status,type_compatibility_status,choice_compatibility_status,mapping_review_status,review_reason_code,metadata_verification_status
1,2026-08-05,Leads,Leads,Address - Street Address,Address_Street_Address,text,used,Accounts,Accounts,Address - Street Address,Address_Street_Address,text,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Street Address,Address_Street_Address,text,used,Deals,Deals,Address - Street Address,Address_Street_Address,text,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,used,Contacts,Contacts,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,used,Accounts,Accounts,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,used,Deals,Deals,Address - Zip / Postal Code,Address_Zip_Postal_Code,text,existing_used,mapped,exact,not_choice,safe_keep,conditional_address,verified
1,2026-08-05,Leads,Leads,After-Hours Audit At,After_Hours_Audit_At,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,After-Hours Audit At,After_Hours_Audit_At,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,After-Hours Audit At,After_Hours_Audit_At,datetime,used,Deals,Deals,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,After-Hours Audit Notes,After_Hours_Audit_Notes,textarea,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,After-Hours Audit Notes,After_Hours_Audit_Notes,textarea,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,After-Hours Audit Notes,After_Hours_Audit_Notes,textarea,used,Deals,Deals,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,used,Deals,Deals,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,After-Hours Call Band,After_Hours_Call_Band,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,After-Hours Call Band,After_Hours_Call_Band,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,After-Hours Call Band,After_Hours_Call_Band,picklist,used,Deals,Deals,After-Hours Call Band,After_Hours_Call_Band,picklist,existing_used,unmapped,exact,exact,safe_add,deal_owned,verified
1,2026-08-05,Leads,Leads,Annual Revenue,Annual_Revenue,currency,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,company_owned,verified
1,2026-08-05,Leads,Leads,Annual Revenue,Annual_Revenue,currency,used,Accounts,Accounts,Annual Revenue,Annual_Revenue,currency,existing_used,unmapped,exact,not_choice,safe_add,company_owned,verified
1,2026-08-05,Leads,Leads,Annual Revenue,Annual_Revenue,currency,used,Deals,Deals,Amount,Amount,currency,existing_used,unmapped,exact,not_choice,intentional_unmapped,company_owned,verified
1,2026-08-05,Leads,Leads,Average Job Value Band,Average_Job_Value_Band,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Average Job Value Band,Average_Job_Value_Band,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Average Job Value Band,Average_Job_Value_Band,picklist,used,Deals,Deals,Average Job Value Band,Average_Job_Value_Band,picklist,existing_used,unmapped,exact,exact,safe_add,deal_owned,verified
1,2026-08-05,Leads,Leads,Average Time Spent (Minutes),Average_Time_Spent_Minutes,double,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Average Time Spent (Minutes),Average_Time_Spent_Minutes,double,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Average Time Spent (Minutes),Average_Time_Spent_Minutes,double,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Commercial Fit,Budget_Fit,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Commercial Fit,Budget_Fit,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
